outcome,covariate,p_all,effect_all,effect_all_ci,p_stage0,effect_stage0,effect_stage0_ci,p_stage1,effect_stage1,effect_stage1_ci
response_achieved,age,0.5434,1.7346,"[0.321, 13.324]",0.6147,0.9855,"[0.931, 1.043]",0.8948,0.9916,"[0.875, 1.124]"
time_to_next_treatment,age,0.0269,0.2823,"[0.092, 0.865]",0.3566,1.0149,"[0.983, 1.047]",0.6345,1.0156,"[0.953, 1.083]"
treatment_duration,age,0.7697,1.1358,"[0.484, 2.664]",0.0208,1.0494,"[1.007, 1.093]",0.7612,1.0098,"[0.948, 1.075]"
response_duration,age,0.2441,0.4769,"[0.137, 1.658]",0.092,1.0399,"[0.994, 1.088]",0.6516,1.0252,"[0.920, 1.142]"
response_time_to,age,0.3935,-1.2647,"[-4.264, 1.735]",0.7036,-0.02,"[-0.127, 0.087]",0.8766,0.0148,"[-0.180, 0.209]"
response_achieved,sex,0.5034,1.9165,"[0.309, 16.338]",1,1,"[0.245, 4.078]",0.9947,7825680.3966,"[0.000, Inf]"
time_to_next_treatment,sex,0.0268,0.2509,"[0.074, 0.853]",0.6737,0.8463,"[0.389, 1.840]",0.2961,3.4737,"[0.336, 35.920]"
treatment_duration,sex,0.899,0.9397,"[0.360, 2.453]",0.5091,0.7588,"[0.334, 1.722]",0.7647,1.3863,"[0.163, 11.772]"
response_duration,sex,0.7686,0.8041,"[0.188, 3.436]",0.2591,2.0461,"[0.590, 7.095]",0.2262,4.5221,"[0.393, 52.084]"
response_time_to,sex,0.2071,-1.9862,"[-5.145, 1.172]",0.1379,-1.9911,"[-4.668, 0.686]",0.6435,1.5,"[-5.105, 8.105]"
response_achieved,bmi,0.5971,1.6207,"[0.294, 12.562]",0.5733,0.967,"[0.860, 1.087]",0.3013,0.532,"[0.161, 1.761]"
time_to_next_treatment,bmi,0.0193,0.2555,"[0.081, 0.801]",0.5839,0.9807,"[0.914, 1.052]",0.0503,1.3397,"[1.000, 1.795]"
treatment_duration,bmi,0.7341,1.1631,"[0.486, 2.781]",0.4353,1.0287,"[0.958, 1.104]",0.198,1.2077,"[0.906, 1.610]"
response_duration,bmi,0.3205,0.525,"[0.147, 1.872]",0.51,1.0294,"[0.944, 1.122]",0.0015,1.7558,"[1.241, 2.484]"
response_time_to,bmi,0.8434,-0.2632,"[-2.979, 2.452]",0.0155,0.2832,"[0.059, 0.507]",0.4017,0.3265,"[-0.463, 1.116]"
response_achieved,ps_ecog,0.5067,1.8327,"[0.336, 14.230]",1,1,"[0.245, 4.078]",0.9947,7825680.3948,"[0.000, Inf]"
time_to_next_treatment,ps_ecog,0.0187,0.2598,"[0.084, 0.799]",0.9078,0.9551,"[0.438, 2.080]",0.7017,1.563,"[0.159, 15.358]"
treatment_duration,ps_ecog,0.7935,1.122,"[0.474, 2.656]",0.3488,1.4705,"[0.656, 3.295]",0.9229,0.9003,"[0.107, 7.549]"
response_duration,ps_ecog,0.2412,0.473,"[0.135, 1.655]",0.4603,1.4221,"[0.558, 3.622]",0.9982,0,"[0.000, Inf]"
response_time_to,ps_ecog,0.4156,-1.2086,"[-4.215, 1.798]",0.5773,0.7589,"[-2.014, 3.531]",0.5037,-2.25,"[-9.090, 4.590]"
response_achieved,first_syst_th,0.7805,1.3191,"[0.189, 11.460]",0.721,0.6842,"[0.085, 5.494]",0.9926,85089624.7136,"[0.000, Inf]"
time_to_next_treatment,first_syst_th,0.0801,0.3061,"[0.081, 1.152]",0.4081,1.57,"[0.539, 4.572]",0.0466,0.0949,"[0.009, 0.966]"
treatment_duration,first_syst_th,0.7406,0.8316,"[0.279, 2.478]",0.1082,2.4406,"[0.822, 7.249]",0.4728,0.5756,"[0.127, 2.600]"
response_duration,first_syst_th,0.7402,0.7826,"[0.184, 3.333]",0.6515,1.4104,"[0.317, 6.273]",0.9979,0,"[0.000, Inf]"
response_time_to,first_syst_th,0.9204,0.1921,"[-3.727, 4.111]",0.3131,-2.2381,"[-6.721, 2.245]",0.6518,-1.5,"[-8.274, 5.274]"
response_achieved,dyslipidemia_before,0.55,1.7208,"[0.317, 13.252]",0.5309,0.625,"[0.144, 2.718]",0.9947,7825680.3952,"[0.000, Inf]"
time_to_next_treatment,dyslipidemia_before,0.0175,0.2407,"[0.074, 0.780]",0.4216,0.6962,"[0.288, 1.684]",0.2758,3.7077,"[0.351, 39.132]"
treatment_duration,dyslipidemia_before,0.8123,1.1097,"[0.470, 2.619]",0.4868,1.3725,"[0.562, 3.351]",0.7589,1.3981,"[0.165, 11.879]"
response_duration,dyslipidemia_before,0.2468,0.4751,"[0.135, 1.674]",0.9707,0.9806,"[0.344, 2.793]",0.2222,4.587,"[0.398, 52.925]"
response_time_to,dyslipidemia_before,0.3289,-1.3721,"[-4.210, 1.466]",0.0451,-2.7647,"[-5.464, -0.065]",0.6306,1.5,"[-4.855, 7.855]"
response_achieved,thyroid_disease_before,0.5368,1.7554,"[0.321, 13.574]",0.993,37539540.2988,"[0.000, Inf]",0.9961,0,"[0.000, Inf]"
time_to_next_treatment,thyroid_disease_before,0.0173,0.2555,"[0.083, 0.786]",0.4377,0.6207,"[0.186, 2.070]",0.0031,40.7131,"[3.489, 475.146]"
treatment_duration,thyroid_disease_before,0.8504,1.0869,"[0.457, 2.584]",0.7919,0.8492,"[0.252, 2.861]",0.0104,27.9171,"[2.184, 356.878]"
response_duration,thyroid_disease_before,0.2902,0.506,"[0.143, 1.788]",0.6213,1.3809,"[0.384, 4.969]",0.0027,72.7507,"[4.423, 1196.677]"
response_time_to,thyroid_disease_before,0.2675,-1.6211,"[-4.565, 1.323]",0.1775,-2.1711,"[-5.393, 1.051]",,,
response_achieved,monotherapy,0.755,1.3662,"[0.199, 11.991]",0.8999,1.1,"[0.249, 4.858]",0.994,78256803.9385,"[0.000, Inf]"
time_to_next_treatment,monotherapy,0.0358,0.2853,"[0.088, 0.920]",0.6439,0.823,"[0.360, 1.880]",0.5246,0.4739,"[0.048, 4.727]"
treatment_duration,monotherapy,0.9353,0.9618,"[0.376, 2.460]",0.7042,1.1776,"[0.506, 2.738]",0.7559,1.4017,"[0.167, 11.778]"
response_duration,monotherapy,0.625,0.7148,"[0.186, 2.747]",0.1216,0.3728,"[0.107, 1.300]",0.5082,0.4425,"[0.040, 4.954]"
response_time_to,monotherapy,0.8368,-0.3667,"[-3.994, 3.261]",0.3986,-1.1863,"[-4.031, 1.658]",,,
